aircraft_id,flight_date,flight_hours,cycles,avg_temp,time_since_last_maintenance,sensor_vibration,oil_pressure,maintenance_flag,maintenance_cost,failure_within_30days
AIR_001,2023-12-15,2.88,1,8.8,145,0.317,49.38,0,0,1
AIR_001,2023-05-11,2.17,1,20.4,139,0.548,40.43,0,0,1
AIR_001,2023-06-19,2.32,2,13.4,150,1.012,51.97,0,0,1
AIR_001,2023-11-25,2.08,3,12.1,113,0.726,51.87,0,0,1
AIR_001,2023-12-26,2.19,2,30.2,148,0.408,50.33,0,0,0
AIR_001,2023-09-27,1.86,2,26.9,129,0.613,50.13,0,0,1
AIR_001,2023-10-07,1.56,1,6.2,147,0.331,47.43,1,3568,0
AIR_001,2023-05-16,3.22,1,24.3,111,0.542,52.99,0,0,1
AIR_001,2023-02-02,2.38,1,10.9,141,0.185,53.19,0,0,0
AIR_001,2023-05-11,2.75,3,30.4,120,1.174,45.4,0,0,1
AIR_001,2023-03-04,2.46,1,24.6,138,0.344,52.12,0,0,0
AIR_001,2023-02-05,2.6,3,21.1,128,0.559,54.48,0,0,0
AIR_001,2023-01-28,2.21,2,1.0,117,0.345,48.2,0,0,1
AIR_001,2023-10-10,3.39,1,12.1,109,0.501,48.83,0,0,0
AIR_001,2023-08-22,2.82,2,13.3,138,0.877,50.87,0,0,1
AIR_001,2023-09-25,2.49,1,-1.7,143,0.512,62.32,0,0,0
AIR_001,2023-05-06,2.48,2,3.3,138,0.347,50.84,0,0,0
AIR_001,2023-10-07,2.75,2,14.8,117,0.602,52.72,0,0,1
AIR_001,2023-12-15,2.21,3,23.6,132,0.19,50.34,0,0,0
AIR_001,2023-05-08,3.37,3,15.7,134,0.332,53.39,0,0,1
AIR_001,2023-12-12,2.51,1,18.8,108,0.7,50.76,0,0,1
AIR_001,2023-10-31,2.58,2,16.1,139,0.364,51.16,0,0,0
AIR_001,2023-09-11,2.62,2,2.8,141,0.262,53.28,0,0,1
